,pandemic,covid,covid-19,coronavirus,cases,cdc,fauci,recession,crisis,deaths,restrictions,lockdown,vaccine,vaccines,travel,stimulus,variant,pfizer
2017-03-14,31,0,0,32,79,75,0,47,79,83,100,45,75,68,96,53,37,66
2017-03-15,32,0,0,16,79,79,0,57,78,95,83,51,77,77,100,48,75,63
2017-03-16,68,100,0,0,76,93,0,45,63,89,65,44,92,53,83,55,72,67
2017-03-17,46,0,0,69,67,80,0,60,63,78,64,37,66,75,76,54,50,61
2017-03-18,34,0,0,40,73,49,0,30,46,96,59,22,49,48,74,29,52,37
2017-03-19,43,0,0,0,75,42,100,27,60,83,81,22,55,38,79,58,91,40
2017-03-20,76,0,0,33,76,86,83,62,83,90,63,42,85,87,84,93,71,75
2017-03-21,80,0,0,50,79,100,84,68,82,79,94,48,93,76,89,79,81,98
2017-03-22,72,0,0,49,80,71,0,73,92,100,88,100,83,97,80,64,72,83
2017-03-23,45,0,0,17,80,91,85,66,87,86,89,58,87,56,78,71,58,54
2017-03-24,61,0,0,17,74,72,0,38,71,90,70,55,80,76,74,59,58,51
2017-03-25,39,0,0,80,70,38,0,18,44,80,83,38,62,50,76,44,40,40
2017-03-26,47,0,0,39,76,47,0,54,53,94,79,39,59,36,79,36,40,49
2017-03-27,100,100,0,33,78,84,0,50,77,90,78,65,81,72,81,57,100,67
2017-03-28,52,0,0,66,75,83,0,80,91,75,92,87,88,77,80,100,76,100
2017-03-29,52,0,0,16,73,86,0,75,89,93,76,94,77,68,76,48,76,80
2017-03-30,64,0,0,33,82,79,0,78,100,82,68,63,77,91,76,67,77,75
2017-03-31,49,0,0,0,79,70,0,36,69,93,74,61,74,71,71,93,78,71
2017-04-01,24,0,0,0,91,48,47,9,40,75,62,49,55,40,84,33,90,24
2017-04-02,57,0,0,24,91,37,0,46,41,84,84,49,53,46,91,33,64,44
2017-04-03,58,0,0,19,91,88,0,60,73,71,84,49,81,63,96,86,52,82
2017-04-04,89,0,0,19,92,97,0,77,85,84,89,100,75,60,93,80,78,66
2017-04-05,66,0,0,19,82,83,38,68,80,71,85,49,72,73,93,70,94,58
2017-04-06,51,0,0,0,92,77,0,55,87,80,100,63,71,65,94,78,83,66
2017-04-07,78,0,0,0,80,70,0,45,87,100,85,77,75,64,88,45,83,50
2017-04-08,74,0,0,0,88,33,0,44,47,75,76,74,59,43,90,41,92,49
2017-04-09,88,0,0,97,92,36,0,44,56,69,85,62,56,57,88,47,92,14
2017-04-10,56,0,0,40,89,92,0,59,77,75,99,58,80,71,100,50,91,85
2017-04-11,56,0,0,20,91,87,0,74,83,68,75,79,77,76,100,80,91,56
2017-04-12,28,0,0,100,77,79,39,59,88,82,90,99,76,82,88,83,81,63
2017-04-13,53,0,0,20,79,72,0,49,80,79,75,78,74,73,91,61,98,60
2017-04-14,44,0,0,22,76,61,43,51,57,66,85,74,74,70,84,39,100,40
2017-04-15,64,0,0,0,80,39,0,41,40,69,60,62,59,64,77,31,46,21
2017-04-16,71,0,0,0,71,50,100,49,51,78,72,52,45,35,80,49,41,22
2017-04-17,52,0,0,40,92,79,0,62,83,86,74,96,84,67,98,66,97,76
2017-04-18,47,100,0,39,91,83,0,68,90,78,89,64,72,79,92,68,95,100
2017-04-19,43,0,0,20,89,98,77,48,91,67,93,85,72,96,97,73,84,78
2017-04-20,100,0,0,60,92,73,0,95,84,80,84,84,75,76,92,55,86,65
2017-04-21,49,0,0,0,80,61,0,53,79,63,79,56,73,74,84,62,88,55
2017-04-22,49,0,0,24,100,42,0,37,56,57,59,35,64,50,82,23,91,48
2017-04-23,63,0,0,0,84,46,0,68,74,79,73,41,58,61,92,53,45,34
2017-04-24,63,0,0,19,94,100,0,71,94,77,75,49,78,74,99,100,53,55
2017-04-25,43,99,0,19,97,94,0,80,91,71,87,75,100,77,97,99,47,88
2017-04-26,47,0,0,0,90,77,0,100,100,85,83,98,79,97,92,64,68,60
2017-04-27,47,0,0,39,90,79,0,88,90,72,77,63,71,100,90,57,79,64
2017-04-28,49,0,0,40,84,63,0,70,81,69,75,41,75,94,83,72,54,69
2017-04-29,24,0,0,24,78,39,47,40,50,67,66,29,64,64,77,23,84,27
2017-04-30,57,0,0,24,88,41,0,55,70,72,77,62,60,77,85,29,83,37
2017-05-01,72,0,0,99,100,92,0,100,89,85,87,55,72,88,93,100,90,92
2017-05-02,72,100,0,0,89,73,75,64,100,72,85,64,84,73,97,45,74,85
2017-05-03,64,0,0,0,97,93,0,98,94,89,95,83,83,93,100,56,48,58
2017-05-04,60,0,0,100,96,84,0,98,100,63,70,72,90,100,91,67,48,70
2017-05-05,67,0,0,35,85,79,0,82,89,60,72,67,74,87,81,38,100,58
2017-05-06,84,0,0,0,68,38,46,39,46,66,60,50,52,49,78,35,81,47
2017-05-07,75,0,0,42,80,50,0,40,56,71,70,34,44,58,87,28,55,18
2017-05-08,100,0,0,34,82,75,0,82,80,84,87,39,88,81,100,29,62,68
2017-05-09,91,0,0,0,90,100,0,100,91,72,82,49,88,83,97,40,93,83
2017-05-10,70,0,0,0,85,78,38,74,90,66,67,65,82,62,92,60,58,87
