,pandemic,covid,covid-19,coronavirus,cases,cdc,fauci,recession,crisis,deaths,restrictions,lockdown,vaccine,vaccines,travel,stimulus,variant,pfizer
2017-11-13,60,0,0,41,82,88,0,75,57,57,75,49,93,50,90,73,72,86
2017-11-14,67,0,0,61,81,75,82,87,44,63,55,52,100,52,94,73,92,69
2017-11-15,56,0,0,21,80,91,83,88,51,76,78,100,84,50,89,90,68,73
2017-11-16,68,0,0,42,79,92,0,86,51,65,90,80,83,45,93,83,74,83
2017-11-17,37,0,0,65,80,73,0,85,41,66,88,77,80,45,83,65,51,50
2017-11-18,73,0,0,100,76,39,100,51,28,73,65,38,50,54,79,27,65,30
2017-11-19,56,0,0,50,83,43,0,55,31,70,84,23,70,62,88,45,65,24
2017-11-20,66,0,0,21,77,61,85,100,42,90,73,47,94,100,98,64,100,35
2017-11-21,41,0,0,87,77,73,0,60,41,94,80,57,85,69,89,47,97,73
2017-11-22,63,0,0,23,69,70,0,64,40,65,75,31,83,52,86,22,54,37
2017-11-23,74,0,0,0,72,27,0,26,23,68,54,30,51,25,75,17,42,17
2017-11-24,53,0,0,24,91,27,0,46,26,49,46,12,40,30,87,23,68,29
2017-11-25,100,0,0,0,100,36,0,46,28,65,60,14,44,37,93,17,34,20
2017-11-26,93,0,0,0,93,46,0,69,39,69,83,23,49,32,96,30,52,50
2017-11-27,77,0,0,59,92,56,78,74,47,64,100,35,65,44,100,72,83,48
2017-11-28,67,0,0,39,92,77,0,92,87,58,77,43,82,54,98,75,83,53
2017-11-29,52,100,0,41,86,100,0,93,100,60,90,49,92,54,91,64,72,100
2017-11-30,56,0,0,62,83,72,0,100,87,66,77,52,84,46,90,85,58,67
2017-12-01,39,0,0,13,70,16,72,81,100,86,52,100,70,99,77,55,64,78
2017-12-02,35,0,0,61,70,12,0,41,83,81,89,68,59,55,69,25,30,22
2017-12-03,47,0,0,15,77,12,0,47,82,77,70,58,44,56,84,28,42,31
2017-12-04,67,0,0,12,72,21,0,91,86,77,99,53,100,100,97,100,52,87
2017-12-05,57,0,0,25,80,24,0,88,92,87,69,77,96,67,100,53,100,97
2017-12-06,81,0,0,25,78,23,71,100,91,91,82,56,88,86,88,55,46,96
2017-12-07,45,0,0,50,75,21,71,75,89,100,74,99,83,78,90,57,59,98
2017-12-08,52,0,0,25,66,21,36,61,87,78,85,79,89,68,76,89,57,93
2017-12-09,62,0,0,0,77,13,0,41,89,80,74,43,63,42,84,25,38,31
2017-12-10,63,0,0,15,81,13,0,53,90,86,76,46,60,73,82,31,13,53
2017-12-11,61,0,0,0,77,18,35,46,84,92,72,48,70,75,91,61,52,76
2017-12-12,48,0,0,50,75,21,0,85,85,78,75,84,81,92,85,78,49,92
2017-12-13,48,0,0,25,71,22,0,65,74,84,66,94,81,81,81,57,49,73
2017-12-14,29,0,0,26,65,17,36,81,84,80,68,90,75,64,82,55,60,100
2017-12-15,38,0,0,27,68,15,0,64,69,74,72,51,73,66,78,55,67,93
2017-12-16,20,0,0,63,72,100,0,36,48,85,59,44,55,51,76,29,26,59
2017-12-17,52,0,0,16,71,77,0,48,50,72,59,37,52,35,85,41,26,36
2017-12-18,50,0,0,39,69,51,0,85,68,90,76,37,61,64,93,56,58,79
2017-12-19,31,100,0,53,71,35,0,64,64,83,74,45,74,70,89,57,26,96
2017-12-20,42,0,0,27,67,28,0,73,60,86,67,38,81,73,82,36,38,87
2017-12-21,39,0,0,28,62,23,0,22,53,79,74,42,70,40,81,52,82,90
2017-12-22,45,0,0,0,56,13,0,40,45,82,74,36,65,41,83,24,45,64
2017-12-23,50,0,0,33,64,14,0,19,36,72,57,29,37,37,77,10,54,33
2017-12-24,52,0,0,17,56,9,0,29,35,71,45,37,29,34,73,14,9,24
2017-12-25,100,0,0,71,90,11,100,41,39,82,42,14,35,17,76,15,34,36
2017-12-26,63,0,0,92,100,12,0,27,49,72,70,12,51,40,91,22,26,54
2017-12-27,81,0,0,14,79,17,0,31,46,75,81,26,74,33,94,21,68,63
2017-12-28,62,0,0,100,66,16,0,36,54,72,77,40,55,49,92,21,63,83
2017-12-29,56,0,0,44,73,16,0,76,41,100,100,53,61,56,87,15,32,59
2017-12-30,48,0,0,78,64,14,0,15,45,86,73,16,56,56,90,16,39,36
2017-12-31,44,0,0,78,58,9,0,24,51,92,63,31,46,41,83,6,39,9
2018-01-01,83,0,0,0,91,26,0,36,52,68,72,22,38,32,69,10,45,13
2018-01-02,65,0,0,47,88,43,0,34,63,63,100,28,58,67,87,63,48,37
2018-01-03,48,0,0,69,100,44,100,25,69,70,69,17,64,48,93,40,62,74
2018-01-04,41,0,0,46,96,41,0,33,74,67,70,39,69,61,91,61,80,83
2018-01-05,61,0,0,83,93,54,0,25,73,54,78,30,57,50,91,50,54,49
2018-01-06,59,0,0,40,86,38,0,38,65,65,77,38,47,58,82,20,33,38
2018-01-07,92,0,0,13,88,31,0,40,60,53,78,21,50,51,92,45,75,41
2018-01-08,68,0,0,33,88,62,0,56,74,63,77,52,78,58,89,59,50,74
2018-01-09,54,0,0,100,88,61,48,58,69,63,77,34,69,69,87,80,41,71
2018-01-10,66,0,0,80,88,57,0,62,73,70,84,49,90,86,87,95,66,62
2018-01-11,62,94,0,0,97,68,0,59,83,76,100,100,78,94,100,56,47,77
2018-01-12,18,95,0,68,89,57,49,67,71,63,77,27,73,88,94,86,70,82
2018-01-13,78,0,0,27,90,35,0,32,58,65,70,19,53,38,88,31,28,37
2018-01-14,97,0,0,39,94,33,0,40,45,64,60,40,48,47,86,35,32,18
2018-01-15,39,100,0,60,79,54,0,46,61,65,83,43,70,66,90,50,84,35
2018-01-16,65,0,0,22,79,58,0,61,93,68,89,44,83,65,91,81,55,59
2018-01-17,57,0,0,78,88,61,0,61,85,92,73,74,72,84,87,72,46,56
2018-01-18,66,0,0,46,97,67,0,35,72,94,78,72,87,80,86,74,80,53
2018-01-19,74,0,0,23,92,67,0,52,74,96,80,42,90,87,83,53,66,56
2018-01-20,56,0,0,54,92,51,58,25,63,94,83,51,60,49,81,46,33,39
2018-01-21,71,0,0,65,90,38,0,43,58,75,64,35,56,46,87,40,64,30
2018-01-22,56,0,0,22,90,62,0,60,66,71,90,39,73,70,91,96,90,36
2018-01-23,60,0,0,0,82,68,48,71,94,95,76,70,90,75,89,88,50,62
2018-01-24,46,0,0,11,96,57,48,76,98,91,94,58,88,100,86,59,96,43
2018-01-25,73,0,0,79,97,72,49,35,100,88,84,75,89,96,85,56,84,59
2018-01-26,89,0,0,23,95,65,50,77,83,100,74,89,92,75,86,74,66,76
2018-01-27,78,0,0,27,92,46,0,58,70,99,71,29,70,55,80,46,100,29
2018-01-28,64,0,0,53,89,44,0,41,65,79,90,29,60,59,85,66,44,34
2018-01-29,92,0,0,66,86,66,0,96,91,91,81,71,72,93,83,62,95,68
2018-01-30,92,0,0,55,85,78,0,78,77,96,80,59,100,85,86,100,85,100
2018-01-31,100,0,0,66,88,100,48,100,98,88,69,78,88,85,82,97,64,86
2018-02-01,93,0,0,48,84,68,0,53,34,49,69,19,92,69,88,50,91,58
2018-02-02,64,0,0,100,78,65,0,49,33,50,74,15,94,61,83,51,42,100
2018-02-03,93,0,0,35,85,44,0,40,20,47,81,14,77,56,83,41,49,27
2018-02-04,82,0,0,34,84,41,59,61,25,33,62,14,58,63,85,31,27,26
2018-02-05,34,0,0,38,78,47,0,77,30,41,82,14,88,68,85,48,53,65
2018-02-06,69,99,0,67,83,51,0,78,32,38,78,18,88,73,88,88,67,71
2018-02-07,34,0,0,38,80,51,0,73,29,43,77,28,100,100,90,75,67,75
2018-02-08,42,0,0,68,100,53,0,69,29,40,71,20,84,75,90,76,63,70
2018-02-09,79,0,0,30,82,66,0,66,33,40,67,19,94,54,86,53,65,50
2018-02-10,54,0,0,56,81,39,59,25,19,45,62,16,62,59,83,18,32,34
2018-02-11,100,0,0,34,81,28,0,28,22,39,69,11,63,40,91,31,59,21
2018-02-12,77,0,0,48,83,61,50,66,27,43,63,13,85,79,90,73,59,58
2018-02-13,85,0,0,48,84,61,50,79,32,49,57,18,82,90,87,68,63,58
2018-02-14,62,0,0,39,65,56,50,67,31,52,63,21,82,81,76,73,100,56
2018-02-15,75,0,0,20,87,60,0,66,33,100,100,73,85,70,89,91,93,41
2018-02-16,57,0,0,40,74,52,0,47,30,88,79,100,84,84,83,63,43,42
2018-02-17,46,0,0,68,76,35,0,22,18,75,90,26,63,64,80,28,54,26
2018-02-18,55,0,0,0,78,31,0,37,19,80,82,18,51,53,86,56,76,27
2018-02-19,68,0,0,20,81,44,0,35,26,69,71,19,72,63,100,100,66,33
2018-02-20,78,0,0,10,87,63,0,46,50,63,95,40,84,65,97,98,64,72
2018-02-21,58,100,0,19,83,62,0,71,100,68,70,76,76,80,93,65,72,45
2018-02-22,62,0,0,10,86,50,100,100,57,72,96,68,71,51,91,50,63,52
2018-02-23,24,0,0,29,79,58,51,61,40,55,89,88,78,60,88,58,51,55
2018-02-24,59,0,0,11,86,52,0,36,26,57,66,22,49,43,84,31,59,34
2018-02-25,55,0,0,34,86,51,0,28,29,56,72,26,45,54,95,37,70,32
2018-02-26,76,0,0,19,91,72,0,78,37,44,83,46,75,99,96,77,94,69
2018-02-27,54,0,0,58,82,94,0,73,37,52,81,53,71,84,92,39,99,58
2018-02-28,54,0,0,39,84,100,0,65,40,49,74,64,74,89,92,84,91,54
2018-03-01,56,0,0,46,100,100,0,78,90,86,75,100,74,74,87,65,76,60
2018-03-02,42,0,0,24,96,64,0,42,100,82,80,82,81,62,89,72,53,55
2018-03-03,55,0,0,29,93,62,0,47,57,61,55,62,59,53,87,64,42,34
2018-03-04,30,0,0,29,96,54,0,28,65,62,65,30,55,60,90,47,100,22
2018-03-05,50,0,0,0,94,73,0,86,79,70,61,90,78,69,89,99,57,46
2018-03-06,62,0,0,24,95,69,0,70,81,63,75,60,86,68,97,92,78,90
2018-03-07,41,0,0,24,96,76,0,62,96,65,100,47,80,58,89,88,95,66
2018-03-08,84,0,0,72,99,73,0,74,68,65,56,48,100,82,97,64,75,75
2018-03-09,82,0,0,49,97,54,84,56,70,59,70,75,87,54,100,66,54,42
2018-03-10,50,0,0,57,97,44,0,47,53,57,68,28,69,39,94,68,42,37
2018-03-11,89,0,0,57,98,47,0,28,58,56,53,22,66,65,93,34,41,24
2018-03-12,88,0,0,48,92,69,0,50,78,53,70,39,85,52,98,75,92,59
2018-03-13,42,82,0,71,91,61,82,83,78,67,67,36,84,86,100,89,61,67
2018-03-14,55,0,0,0,82,70,0,47,79,100,75,63,84,81,98,50,80,47
2018-03-15,64,0,0,97,88,71,0,56,79,84,62,75,94,80,91,47,62,76
2018-03-16,35,0,0,75,92,64,0,63,75,70,65,42,88,59,82,67,41,65
2018-03-17,46,0,0,0,87,42,100,38,49,54,50,29,53,46,85,52,43,28
2018-03-18,46,100,0,58,90,36,0,22,54,54,46,16,57,57,85,35,37,34
2018-03-19,59,0,0,48,97,68,0,63,89,70,73,25,79,71,92,71,44,52
2018-03-20,63,0,0,24,98,65,0,76,94,65,66,81,91,100,90,100,92,57
2018-03-21,80,0,0,48,90,73,0,100,78,64,70,53,87,86,95,61,62,67
2018-03-22,60,0,0,0,91,60,0,100,97,57,78,37,97,86,92,77,63,72
2018-03-23,53,0,0,76,80,64,0,83,88,62,63,48,91,86,87,72,69,60
2018-03-24,41,0,0,0,80,45,0,38,62,82,65,19,66,49,90,30,32,38
2018-03-25,66,0,0,0,91,39,0,58,66,84,60,19,60,75,87,39,70,35
2018-03-26,100,0,0,50,92,72,0,71,96,88,83,29,81,76,98,74,50,94
2018-03-27,83,0,0,100,97,80,86,79,93,83,54,26,98,77,88,90,50,100
2018-03-28,57,0,0,25,88,73,0,68,78,65,80,37,98,91,83,52,60,49
2018-03-29,58,0,0,25,89,68,87,78,72,61,83,45,90,73,85,68,37,66
2018-03-30,47,0,0,0,85,49,92,56,63,59,69,25,83,69,79,48,54,46
2018-03-31,21,0,0,0,95,32,0,46,53,61,81,24,61,56,76,49,33,19
2018-04-01,41,0,0,0,81,32,0,51,54,79,78,59,42,44,85,41,52,29
2018-04-02,30,0,0,53,90,49,0,64,77,85,100,72,71,64,94,48,53,79
2018-04-03,41,0,0,76,87,49,0,72,72,84,81,50,81,68,99,69,55,70
2018-04-04,29,0,0,50,89,61,0,82,79,71,68,74,85,70,93,72,73,86
2018-04-05,54,0,0,77,97,100,0,60,77,92,83,81,78,53,91,73,65,76
2018-04-06,42,0,0,0,86,93,0,69,77,71,64,88,69,75,93,44,66,80
2018-04-07,49,0,0,0,81,38,0,42,47,76,49,49,62,68,85,39,54,41
2018-04-08,73,0,0,30,100,37,0,52,54,72,72,29,50,64,100,27,65,34
2018-04-09,49,0,0,100,87,54,0,84,83,82,79,90,82,53,93,71,82,71
2018-04-10,69,0,0,50,87,53,0,79,86,77,77,65,89,100,91,71,100,100
2018-04-11,100,0,0,26,94,52,0,65,91,73,82,42,80,83,100,69,74,73
2018-04-12,46,0,0,77,87,45,0,86,92,63,76,70,85,57,89,83,61,62
2018-04-13,47,0,0,53,85,45,0,56,89,75,56,100,74,54,87,71,96,75
2018-04-14,54,0,0,30,84,34,0,31,56,72,55,36,58,43,85,31,77,49
2018-04-15,63,0,0,89,99,36,0,45,62,74,83,51,54,39,95,54,32,37
2018-04-16,48,0,0,24,85,54,0,82,98,76,73,48,94,55,92,79,75,59
2018-04-17,53,0,0,75,86,51,0,81,98,92,86,78,85,72,92,100,50,77
2018-04-18,45,0,0,25,86,54,0,100,91,76,82,60,81,75,91,59,78,72
2018-04-19,41,0,0,76,85,51,0,82,89,78,70,60,89,61,89,56,92,81
2018-04-20,76,0,0,26,84,60,84,74,84,81,71,93,83,66,82,64,85,74
2018-04-21,46,0,0,31,81,78,0,35,49,89,77,47,62,48,81,24,68,57
2018-04-22,55,0,0,31,89,58,98,49,69,81,68,63,55,53,89,28,28,35
2018-04-23,53,0,0,25,87,64,80,76,91,92,71,75,79,56,97,77,45,62
2018-04-24,57,100,0,25,92,56,0,83,90,84,79,78,89,76,95,77,100,65
2018-04-25,85,0,0,25,93,59,0,98,100,88,90,83,100,61,85,64,72,51
2018-04-26,66,0,0,25,87,57,0,77,88,90,78,96,86,77,85,62,73,66
2018-04-27,75,0,0,0,82,50,0,62,83,100,72,67,86,72,83,56,51,47
2018-04-28,81,0,0,31,81,35,100,41,46,99,80,47,66,47,77,52,28,57
2018-04-29,64,0,0,0,90,34,0,55,55,99,73,39,48,54,83,31,33,24
2018-04-30,74,0,0,76,92,52,81,82,94,98,93,55,81,66,99,81,73,57
2018-05-01,67,0,0,100,84,95,0,87,85,83,90,65,82,85,91,66,41,100
2018-05-02,100,0,0,0,88,100,48,77,92,75,84,60,100,99,91,93,38,75
2018-05-03,64,0,0,0,94,88,0,74,93,87,87,75,98,83,84,82,42,65
2018-05-04,74,0,0,51,80,67,0,61,84,84,90,73,87,68,79,79,54,46
2018-05-05,66,0,0,31,77,40,0,47,44,87,86,30,52,49,81,23,60,36
2018-05-06,60,0,0,0,82,34,0,53,58,92,85,52,53,53,91,54,37,28
2018-05-07,58,0,0,25,87,83,96,87,90,91,75,66,86,50,99,100,45,52
2018-05-08,40,0,0,0,85,86,0,81,100,91,94,74,84,79,90,55,42,97
2018-05-09,31,0,0,50,85,90,0,62,87,76,74,39,81,75,91,59,72,51
2018-05-10,68,0,0,0,100,88,0,77,91,69,85,60,81,100,90,74,91,91
2018-05-11,42,46,0,26,79,79,50,85,77,78,89,62,68,66,81,35,59,60
2018-05-12,45,0,0,31,75,45,0,27,37,75,66,31,51,58,81,9,38,32
2018-05-13,51,0,0,32,80,43,0,55,47,67,78,10,44,29,87,23,62,45
2018-05-14,79,0,0,52,88,77,0,70,84,86,73,30,73,82,98,42,55,43
2018-05-15,64,0,0,51,85,84,0,86,87,75,86,46,82,75,99,64,42,72
2018-05-16,54,0,0,25,76,74,48,66,79,74,85,54,81,60,93,41,61,62
2018-05-17,32,0,0,26,86,81,49,64,81,77,55,61,77,71,91,45,50,53
2018-05-18,90,0,0,53,78,65,0,58,71,93,91,100,75,68,81,59,52,82
2018-05-19,65,0,0,30,61,48,0,39,42,100,89,37,46,51,80,27,50,35
2018-05-20,61,0,0,31,80,50,60,64,56,93,97,31,50,44,96,9,42,32
2018-05-21,69,0,0,51,82,77,0,58,78,98,72,73,83,75,100,45,50,86
2018-05-22,73,0,0,0,91,88,0,80,82,90,90,69,86,72,94,56,100,92
2018-05-23,80,0,0,0,87,91,100,94,74,81,80,86,73,72,93,31,55,74
2018-05-24,73,48,0,0,78,82,0,100,68,84,100,73,78,55,92,48,53,59
2018-05-25,60,100,0,84,80,60,0,67,60,69,91,57,70,64,83,54,34,76
2018-05-26,35,0,0,0,74,34,0,52,41,73,97,26,57,33,82,24,29,33
2018-05-27,57,0,0,0,73,34,0,31,45,92,90,26,52,34,89,37,38,33
2018-05-28,70,0,0,30,75,41,0,42,64,100,99,30,49,42,95,31,55,27
2018-05-29,73,0,0,0,82,77,0,47,84,80,87,50,83,52,98,45,62,89
2018-05-30,32,0,0,26,85,68,0,56,73,87,85,65,82,73,93,49,74,69
2018-05-31,47,0,0,0,82,78,0,88,90,90,74,54,88,77,93,43,59,61
2018-06-01,66,0,0,28,71,62,0,55,92,65,68,66,72,59,65,56,78,79
2018-06-02,40,0,0,0,86,57,100,23,78,74,73,35,53,45,68,42,69,26
2018-06-03,95,0,0,67,98,50,0,43,80,86,62,63,52,56,73,49,31,19
2018-06-04,52,0,0,28,89,86,0,43,96,85,69,63,72,65,68,100,62,72
2018-06-05,45,0,0,27,93,96,0,61,100,66,78,100,83,57,72,39,66,98
2018-06-06,27,0,0,0,89,92,0,66,92,71,82,58,92,65,71,31,89,48
2018-06-07,26,0,0,28,91,100,0,60,93,69,94,50,84,54,66,76,78,73
2018-06-08,61,100,0,57,74,99,0,54,88,100,84,94,70,82,64,47,64,29
2018-06-09,100,0,0,33,78,72,0,70,73,87,86,52,58,54,66,47,55,18
2018-06-10,85,0,0,33,86,36,0,31,68,72,79,65,58,67,73,36,80,41
2018-06-11,31,0,0,53,92,79,79,80,86,77,89,30,87,78,78,86,49,57
2018-06-12,42,0,0,26,96,89,0,82,78,73,95,63,89,87,75,51,62,72
2018-06-13,62,0,0,0,86,91,0,68,83,69,79,35,100,100,71,47,68,59
2018-06-14,65,0,0,0,90,83,0,50,82,69,77,31,98,63,69,55,41,78
2018-06-15,62,0,0,58,79,93,0,35,70,70,71,55,80,80,63,32,54,46
2018-06-16,55,0,0,100,80,44,0,29,57,50,58,25,56,75,63,42,50,26
2018-06-17,55,0,0,0,89,46,0,40,57,74,70,41,51,48,67,60,43,11
2018-06-18,67,0,0,28,100,75,0,36,88,62,100,61,68,73,69,41,100,51
2018-06-19,65,0,0,0,83,88,0,76,75,82,73,37,94,97,68,45,83,100
2018-06-20,54,0,0,28,89,93,0,49,85,63,52,29,83,81,72,46,74,57
2018-06-21,27,0,0,28,87,82,84,56,85,69,80,32,94,77,70,41,79,63
2018-06-22,40,0,0,0,82,82,0,37,69,71,58,35,90,66,66,21,58,77
2018-06-23,91,0,0,32,81,39,0,42,58,72,90,33,61,41,62,64,24,25
2018-06-24,86,0,0,33,96,40,0,43,57,77,78,41,53,59,71,36,25,15
2018-06-25,40,0,0,28,85,71,84,100,64,72,66,29,76,56,75,46,63,57
2018-06-26,46,0,0,28,93,83,0,80,67,67,92,37,91,65,100,51,79,95
2018-06-27,72,0,0,0,87,78,0,58,65,69,72,29,82,57,90,30,62,72
2018-06-28,47,0,0,86,93,85,85,66,70,61,78,38,86,77,75,41,96,58
2018-06-29,48,0,0,0,88,74,0,73,64,63,68,47,76,62,72,37,65,75
2018-06-30,55,0,0,33,90,31,0,68,69,68,75,31,58,48,67,18,55,15
2018-07-01,41,0,0,0,99,30,63,58,90,82,70,80,53,42,91,65,55,8
2018-07-02,48,0,0,34,100,72,52,56,83,66,78,57,72,54,93,54,64,23
2018-07-03,71,0,0,0,89,88,0,79,72,79,100,54,76,63,85,48,100,39
2018-07-04,32,0,0,20,75,33,0,63,61,84,97,39,61,32,88,55,38,15
2018-07-05,30,0,0,36,74,76,0,43,79,83,76,61,64,65,86,100,25,23
2018-07-06,42,0,0,34,94,70,53,89,75,89,85,68,70,75,84,79,75,21
2018-07-07,48,0,0,0,91,35,0,62,65,77,69,77,48,41,81,45,21,12
2018-07-08,81,0,0,0,92,39,0,66,74,100,65,50,49,55,88,82,43,17
2018-07-09,34,0,0,17,90,91,0,62,97,95,74,61,80,85,100,69,64,43
2018-07-10,47,0,0,0,86,69,51,49,89,75,78,69,82,62,91,67,58,35
2018-07-11,52,100,0,0,87,67,100,73,89,80,87,59,79,62,96,52,92,100
2018-07-12,50,0,0,18,88,96,0,62,95,65,76,54,91,100,90,56,62,45
2018-07-13,29,0,0,0,85,69,0,50,97,78,88,55,82,83,86,41,53,32
2018-07-14,90,0,0,0,96,46,0,30,65,69,80,51,46,62,84,28,65,16
2018-07-15,89,0,0,59,91,51,0,40,69,76,65,56,48,55,90,100,54,12
2018-07-16,77,0,0,0,98,79,0,86,94,69,89,43,81,92,93,47,61,35
2018-07-17,28,0,0,0,82,78,0,60,92,81,78,53,78,97,96,47,74,26
2018-07-18,57,0,0,0,83,84,0,100,72,70,80,74,87,88,88,80,91,26
2018-07-19,36,0,0,18,91,91,55,53,88,82,77,75,83,84,87,57,72,33
2018-07-20,100,0,0,0,84,65,0,85,85,85,86,79,73,73,77,56,38,26
2018-07-21,48,0,0,0,88,35,0,50,61,77,89,33,54,87,80,45,65,9
2018-07-22,41,0,0,20,96,39,0,63,81,95,80,56,55,53,90,46,49,6
2018-07-23,83,0,0,0,89,74,0,54,97,87,69,86,85,97,91,62,88,29
2018-07-24,55,0,0,17,95,100,52,65,84,71,65,71,100,82,92,62,46,40
2018-07-25,48,0,0,0,96,74,0,45,100,68,68,100,89,84,89,62,73,37
2018-07-26,57,0,0,17,88,71,0,79,95,75,76,34,91,82,88,40,66,27
2018-07-27,51,0,0,18,78,72,0,59,77,68,77,100,79,62,84,24,77,43
2018-07-28,49,0,0,0,89,35,0,66,65,88,76,89,57,81,80,45,32,17
2018-07-29,67,0,0,61,94,32,0,44,69,91,82,57,47,55,90,84,44,13
2018-07-30,14,0,0,17,91,60,0,51,80,85,78,72,85,82,92,86,46,32
2018-07-31,48,0,0,100,91,79,0,73,79,84,71,66,86,86,89,92,64,57
2018-08-01,56,0,0,66,85,69,0,62,78,74,100,32,88,67,100,27,72,82
2018-08-02,41,0,0,0,82,72,0,94,72,62,87,62,84,71,92,26,83,49
2018-08-03,43,0,0,0,82,77,51,64,75,59,83,31,77,56,91,22,65,100
2018-08-04,41,0,0,39,80,46,0,37,50,59,95,26,50,60,88,38,50,31
2018-08-05,50,0,0,0,80,46,0,34,64,90,91,18,48,55,99,13,40,39
2018-08-06,64,0,0,0,93,85,51,55,74,78,91,30,100,62,100,33,65,93
2018-08-07,71,0,0,33,85,89,100,68,83,90,91,32,85,71,99,27,77,74
2018-08-08,35,0,0,33,94,83,0,45,80,74,92,36,82,80,92,48,93,82
2018-08-09,21,0,0,67,81,72,50,51,89,74,86,17,81,51,90,16,51,53
2018-08-10,29,0,0,0,79,71,0,44,81,70,77,31,77,63,81,33,44,66
2018-08-11,41,0,0,78,80,40,0,63,50,74,89,31,47,40,88,12,64,55
2018-08-12,75,0,0,0,100,40,0,30,82,75,80,29,46,54,90,13,56,21
2018-08-13,50,0,0,0,80,64,50,66,86,77,78,30,81,54,97,43,43,65
2018-08-14,49,0,0,33,80,88,0,85,88,75,82,43,94,88,100,69,59,82
2018-08-15,43,0,0,34,85,90,51,52,76,98,74,29,85,76,98,44,65,45
2018-08-16,22,0,0,0,89,93,0,64,80,93,81,37,98,89,89,22,61,94
2018-08-17,64,0,0,0,81,74,0,40,80,80,71,42,100,100,87,38,39,60
2018-08-18,25,0,0,40,92,48,0,13,49,72,75,29,61,65,82,32,30,35
2018-08-19,93,0,0,0,79,41,60,55,56,84,79,32,55,38,91,19,61,39
2018-08-20,65,0,0,34,83,73,0,53,75,76,89,31,85,67,99,55,52,52
2018-08-21,85,0,0,33,82,74,50,68,84,68,73,32,82,71,88,65,77,68
2018-08-22,43,0,0,0,80,82,0,61,74,67,66,58,92,58,90,71,100,63
2018-08-23,29,0,0,34,76,76,51,41,70,71,68,44,91,60,95,72,48,73
2018-08-24,58,0,0,35,80,100,0,82,68,81,87,56,78,65,85,100,66,95
2018-08-25,50,0,0,0,83,48,59,54,65,80,74,27,67,63,82,32,35,14
2018-08-26,100,0,0,0,82,52,0,34,64,100,60,42,45,60,90,44,45,14
2018-08-27,71,0,0,100,90,80,0,57,79,98,76,68,81,64,92,97,38,71
2018-08-28,62,0,0,33,76,93,0,70,91,97,89,67,86,54,83,90,80,64
2018-08-29,21,100,0,66,86,96,0,73,72,77,75,80,94,69,87,74,68,47
2018-08-30,42,0,0,67,73,84,0,100,100,65,87,100,87,90,87,81,38,71
2018-08-31,50,0,0,34,80,67,0,52,74,82,82,78,84,66,82,81,43,48
2018-09-01,17,0,0,79,74,37,0,15,39,57,72,45,49,52,83,40,71,20
2018-09-02,40,0,0,0,80,33,100,21,50,61,82,37,43,32,88,31,47,15
2018-09-03,70,0,0,0,80,34,0,49,55,53,82,34,44,44,94,45,49,22
2018-09-04,42,0,0,65,74,78,0,49,86,47,66,44,64,73,96,61,47,72
2018-09-05,60,0,0,65,75,100,0,64,75,50,73,63,81,74,94,63,55,91
2018-09-06,42,100,0,32,81,84,0,45,79,59,71,55,85,69,93,47,68,65
2018-09-07,47,0,0,66,66,60,82,39,72,78,77,64,71,59,85,64,34,63
2018-09-08,66,0,0,0,68,50,0,55,42,82,64,50,44,38,81,26,35,20
2018-09-09,27,0,0,37,74,47,0,49,74,69,75,25,47,45,82,38,63,38
2018-09-10,37,0,0,32,79,91,80,63,83,65,68,57,67,78,100,79,76,47
2018-09-11,46,0,0,0,71,81,0,63,98,67,77,62,71,72,96,65,33,64
2018-09-12,51,0,0,65,87,87,0,60,100,68,75,78,72,73,92,77,89,70
2018-09-13,51,0,0,0,88,70,0,81,86,60,76,78,72,84,86,80,55,55
2018-09-14,33,0,0,67,95,77,0,61,90,88,51,84,78,73,79,59,100,64
2018-09-15,56,0,0,0,77,49,0,56,72,78,72,36,49,50,83,37,56,26
2018-09-16,60,0,0,38,100,38,0,53,68,91,68,59,50,57,87,26,25,37
2018-09-17,70,0,0,98,83,82,0,68,86,100,86,54,84,59,94,77,51,38
2018-09-18,56,0,0,33,95,65,81,100,89,88,84,95,77,63,94,71,55,48
2018-09-19,33,0,0,100,87,86,0,65,100,74,77,76,81,97,90,70,78,34
2018-09-20,57,0,0,33,91,83,82,74,91,56,92,100,84,71,95,67,47,68
2018-09-21,43,0,0,68,93,63,84,53,76,50,92,60,76,50,86,51,70,52
2018-09-22,46,0,0,0,85,48,0,37,66,47,100,36,54,58,82,37,73,29
2018-09-23,66,0,0,0,97,47,0,61,66,51,92,29,36,56,84,59,45,11
2018-09-24,47,0,0,66,98,86,0,78,99,53,78,64,77,84,93,78,56,100
2018-09-25,60,0,0,33,98,92,81,73,90,51,80,76,92,88,89,66,55,72
2018-09-26,51,0,0,33,99,97,81,56,89,64,98,77,100,93,94,100,81,84
2018-09-27,100,0,0,0,98,93,0,68,92,60,98,72,84,100,86,91,57,61
2018-09-28,38,0,0,67,79,78,83,70,87,49,77,69,81,89,78,68,61,37
2018-09-29,23,0,0,81,88,37,0,45,62,60,80,25,59,57,75,38,53,18
2018-09-30,72,0,0,0,90,39,0,36,62,43,86,24,50,28,84,23,51,23
2018-10-01,46,0,0,0,93,67,0,68,75,80,83,92,73,81,91,94,42,100
